FiscalYear,QTR,FiscalYearType,Account,Agency,OperatingUnit,BenefitingCountry,Category,Sector,Amount,Spent,Spent2
2009,3,Disbursements,Development Assistance, USAID ,USAID Regional Development Mission-Asia,East Asia Region,ENVIRONMENT,Natural Resources and Biodiversity," $1,844,955.33 ",1844955.33,1844955.33
2012,3,Obligations,N/A, MCC ,Indonesia,Indonesia,Econ. Dev.,Macroeconomic Foundation for Growth," $157,352.50 ",157352.5,157352.5
2014,2,Disbursements,N/A,usaid,Bolivia,Bolivia,Program Management,Monitoring and Evaluation," $13,561.45 ",13561.45,13561.45
2013,1,Obligations,International Disaster Assistance,usaid,Costa Rica,Costa Rica,Program Management,Direct Administrative Costs," $252,748.40 ",252748.4,252748.4
2013,2,Disbursements,N/A,usaid,East Asia Region,East Asia Region,Program Management,Monitoring and Evaluation," $6,358.21 ",6358.21,6358.21
2009,4,Obligations,Global Health & Child Survival,U.S.A.I.D,USAID South America Regional,South America Region,Health,Malaria," $2,290,000.00 ",2290000,2290000
2010,2,Disbsmnt.,Development Assistance,usaid,Cambodia,Cambodia,Program Management,Monitoring and Evaluation," $1,478.58 ",1478.58,1478.58
20014,0,Disbursements,N/A,DoD,West Bank and Gaza,West Bank and Gaza,Peace and Security,Counterterrorism," $157,350.00 ",157350,157350
2011,2,Disbursements,Development Assistance,usaid,USAID Office of Development Partners,Worldwide,Program Management,Monitoring and Evaluation," $584,289.22 ",584289.22,584289.22
2010,,Disbsmnt.,N/A,USADF,Rwanda,Rwanda,,Trade and Investment," $120,682.36 ",120682.36,120682.36
2011,3,Disbursements,Development Assistance,usaid,USAID Office of Development Partners,East Asia Region,Program Management,Direct Administrative Costs," $8,489.75 ",8489.75,8489.75
2012,4,Disbursements,"Assistance for Europe, Eurasia and Central Asia",U.S.A.I.D,Armenia,Armenia,Health,Maternal and Child Health," $701,602.46 ",701602.46,701602.46
2011,1,Disbursements,Operating Expenses,usaid,USAID Southern Africa Regional,Worldwide,Program Management,Direct Administrative Costs, $77.56 ,77.56,77.56
2012,2,Disbursements,Development Assistance,usaid,Ethiopia,Ethiopia,Education and Social Services,Basic Education," $6,655,528.04 ",6655528.04,6655528.04
2012,2,Disbursements,Economic Support Fund,usaid,Pakistan,Pakistan,Humanitarian Assistance,Migration Management," $890,406.29 ",890406.29,890406.29
2009,4,Obligations,Economic Support Fund, USAID ,Colombia,Colombia,Education and Social Services,"Social Policies, Regulations, and Systems"," $3,700,000.00 ",3700000,3700000
2012,2,Disbursements,Global HIV/AIDS Initiative,U.S.A.I.D,Ethiopia,Ethiopia,Health,HIV/AIDS," $584,942.57 ",584942.57,584942.57
2011,1,Obligations,Operating Expenses,usaid,Jordan,Worldwide,Program Management,Direct Administrative Costs," $796,315.86 ",796315.86,796315.86
2010,4,Obgl.,Economic Support Fund,usaid,"Congo, Democratic Republic of","Congo, Democratic Republic of",Education and Social Services,Basic Education," $7,125,000.00 ",7125000,7125000
2012,4,Obligations,Development Assistance,usaid,USAID East Africa Regional,East Africa Region,Econ. Dev.,Infrastructure, $(667.00),-667,-667
2010,1,Disbsmnt.,N/A,PEACE CORPS,Ecuador,Ecuador,,Economic Development - General," $772,452.96 ",772452.96,772452.96
2013,1,Obligations,N/A,PEACE CORPS,Burkina Faso,Burkina Faso,,Economic Development - General," $868,778.12 ",868778.12,868778.12
2012,2,Disbursements,N/A, MCC ,El Salvador,El Salvador,Education and Social Services,Social Services," $3,791,218.39 ",3791218.39,3791218.39
2010,,Disbsmnt.,N/A,IAF,Nicaragua,Nicaragua,,Natural Resources and Biodiversity," $165,642.00 ",165642,165642
2009,3,Disbursements,Development Assistance, USAID ,Pakistan,Pakistan,Economic Development,Private Sector Competitiveness," $320,907.00 ",320907,320907
2010,,Obgl.,N/A,IAF,Mexico,Mexico,,Agriculture," $702,955.00 ",702955,702955
2012,2,Disbursements,"Assistance for Europe, Eurasia and Central Asia",usaid,USAID Operating Expense,Central Asia Region,Econ. Dev.,Trade and Investment," $24,999.90 ",24999.9,24999.9
2011,3,Disbursements,N/A,usaid,Guatemala,Guatemala,DRG,Civil Society," $60,490.00 ",60490,60490
2014,2,Disbursements,Economic Support Fund,usaid,Egypt,Egypt,Economic Development,Private Sector Competitiveness," $4,844,437.98 ",4844437.98,4844437.98
2013,4,Obligations,N/A,usaid,Bangladesh,Bangladesh,Economic Development,Agriculture," $30,398,426.52 ",30398426.52,30398426.52
2010,4,Disbsmnt.,Development Assistance,usaid,Zambia,Zambia,Education and Social Services,Social Assistance," $8,756.89 ",8756.889999999999,8756.889999999999
2012,1,Disbursements,Operating Expenses,usaid,Ghana,Worldwide,Program Management,Direct Administrative Costs," $1,031,710.09 ",1031710.09,1031710.09
2014,2,Disbursements,N/A,usaid,Armenia,Armenia,Economic Development,Macroeconomic Foundation for Growth," $560,620.16 ",560620.16,560620.16
2011,1,Disbursements,Economic Support Fund,usaid,Jordan,Jordan,Program Management,Direct Administrative Costs," $242,339.81 ",242339.81,242339.81
2009,3,Disbursements,Economic Support Fund, USAID ,El Salvador,El Salvador,Economic Development,Agriculture," $421,554.73 ",421554.73,421554.73
2009,4,Disbursements,Development Assistance, USAID ,Kenya,Kenya,Peace and Security,Conflict Mitigation and Reconciliation," $138,955.43 ",138955.43,138955.43
2014,2,Disbursements,Global Health & Child Survival,usaid,Mali,Mali,Program Management,Monitoring and Evaluation," $171,500.00 ",171500,171500
2012,4,Disbursements,Economic Support Fund,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Paraguay,Education and Social Services,Social Services," $24,711.60 ",24711.6,24711.6
2011,3,Disbursements,Child Survival and Health Programs Fund,U.S.A.I.D,Haiti,Haiti,Health,Family Planning and Reproductive Health," $6,602.39 ",6602.39,6602.39
2011,1,Obligations,Child Survival and Health Programs Fund,U.S.A.I.D,USAID Africa Regional,Africa Region,Health,HIV/AIDS, $(0.51),-.51,-.51
2011,1,Disbursements,Development Assistance,usaid,South Africa,South Africa,Education and Social Services,Basic Education," $969,633.75 ",969633.75,969633.75
2009,4,Disbursements,Special Assistance Initiatives, USAID ,Serbia,Serbia,Economic Development,Private Sector Competitiveness," $3,113,581.58 ",3113581.58,3113581.58
2010,4,Obgl.,Development Assistance,usaid,USAID Office of Development Partners,Worldwide,Economic Development,Financial Sector," $1,562,045.00 ",1562045,1562045
2011,,Obligations,N/A,IAF,Colombia,Colombia,,Economic Opportunity," $118,478.00 ",118478,118478
2013,4,Disbursements,N/A,usaid,Ethiopia,Ethiopia,Program Management,Direct Administrative Costs," $1,708,948.96 ",1708948.96,1708948.96
2012,2,Disbursements,"Assistance for Europe, Eurasia and Central Asia",usaid,Armenia,Armenia,Econ. Dev.,Trade and Investment," $37,628.64 ",37628.64,37628.64
2009,3,Obligations,Assist. For N.I.S Of Former Soviet Union,U.S.A.I.D,Uzbekistan,Uzbekistan,Health,Maternal and Child Health," $(20,925.90)",-20925.9,-20925.9
2011,2,Obligations,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Philippines,Humanitarian Assistance,Disaster Readiness," $750,000.00 ",750000,750000
2014,2,Obligations,Global Health & Child Survival,U.S.A.I.D,Latin America and Caribbean Region,Latin America and Caribbean Region,Health,Maternal and Child Health," $2,408,076.00 ",2408076,2408076
2011,3,Disbursements,Global Health & Child Survival,U.S.A.I.D,Brazil,Brazil,Health,HIV/AIDS," $81,302.85 ",81302.85000000001,81302.85000000001
2009,1,Disbursements,International Disaster Assistance, USAID ,"USAID Democracy, Conflict and Humanitarian Assistance",Liberia,Humanitarian Assistance,"Protection, Assistance and Solutions"," $465,937.11 ",465937.11,465937.11
2010,1,Disbsmnt.,Global Health & Child Survival,U.S.A.I.D,Yemen,Yemen,Health,Water Supply and Sanitation," $376,000.00 ",376000,376000
2010,3,Obgl.,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",South Africa,Humanitarian Assistance,Disaster Readiness," $113,757.92 ",113757.92,113757.92
2009,3,Disbursements,N/A, MCC ,Ghana,Ghana,Economic Development,Financial Sector," $192,431.77 ",192431.77,192431.77
2009,4,Disbursements,Development Assistance,U.S.A.I.D,Tanzania,Tanzania,Health,Water Supply and Sanitation," $97,472.26 ",97472.26,97472.26
2009,4,Disbursements,Global Health & Child Survival,U.S.A.I.D,Afghanistan,Afghanistan,Health,Tuberculosis," $54,280.42 ",54280.42,54280.42
2009,4,Obligations,Development Assistance, USAID ,Timor-Leste,Timor-Leste,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $2,300,000.00 ",2300000,2300000
2010,2,Disbsmnt.,Global Health & Child Survival,U.S.A.I.D,Timor-Leste,Timor-Leste,Health,Maternal and Child Health," $180,000.00 ",180000,180000
2012,1,Disbursements,Development Assistance,usaid,Tanzania,Tanzania,"Democracy, Human Rights, and Governance",Civil Society," $110,961.79 ",110961.79,110961.79
2009,2,Disbursements,Child Survival and Health Programs Fund,U.S.A.I.D,Madagascar,Madagascar,Health,Malaria," $(78,712.42)",-78712.42,-78712.42
2010,4,Disbsmnt.,Development Assistance,usaid,Zimbabwe,Zimbabwe,Education and Social Services,Social Assistance," $10,504.00 ",10504,10504
2010,4,Disbsmnt.,Development Assistance,U.S.A.I.D,USAID Africa Regional,Africa Region,Health,Water Supply and Sanitation," $1,504,916.97 ",1504916.97,1504916.97
2009,4,Disbursements,Global Health & Child Survival,U.S.A.I.D,Papua New Guinea,East Asia Region,Health,HIV/AIDS," $1,023,879.73 ",1023879.73,1023879.73
2010,4,Disbsmnt.,Economic Support Fund,usaid,Lebanon,Lebanon,Education and Social Services,Higher Education," $(1,299,853.00)",-1299853,-1299853
2010,2,Disbsmnt.,Economic Support Fund,U.S.A.I.D,Paraguay,Paraguay,Health,Maternal and Child Health," $123,693.18 ",123693.18,123693.18
2013,3,Disbursements,Democracy Fund,usaid,Worldwide,Worldwide,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $1,929,663.88 ",1929663.88,1929663.88
2009,1,Disbursements,Economic Support Fund, USAID ,Yemen,Yemen,Peace and Security,Conflict Mitigation and Reconciliation," $182,584.90 ",182584.9,182584.9
2011,1,Disbursements,Global Health & Child Survival,U.S.A.I.D,USAID Global Health,Latin America and Caribbean Region,Health,Pandemic Influenza and Other Emerging Threats ," $215,000.00 ",215000,215000
2009,1,Disbursements,Global Health & Child Survival,U.S.A.I.D,Paraguay,Paraguay,Health,Family Planning and Reproductive Health," $104,890.05 ",104890.05,104890.05
2010,2,Disbsmnt.,Development Assistance,usaid,Laos,Laos,Economic Development,Trade and Investment," $115,249.88 ",115249.88,115249.88
2009,2,Disbursements,Global Health & Child Survival,U.S.A.I.D,Senegal,Senegal,Health,HIV/AIDS," $234,576.72 ",234576.72,234576.72
2011,2,Obligations,N/A, MCC ,Benin,Benin,multi-sector,Multi-Sector - Unspecified," $94,267.91 ",94267.91,94267.91
2011,1,Disbursements,Development Assistance,U.S.A.I.D,USAID Office of Development Partners,Worldwide,Health,Water Supply and Sanitation," $325,606.43 ",325606.43,325606.43
2009,3,Disbursements,Economic Support Fund, USAID ,Pakistan,Pakistan,Humanitarian Assistance,"Protection, Assistance and Solutions"," $2,242,000.00 ",2242000,2242000
2010,3,Obgl.,Development Assistance,usaid,Panama,Panama,Economic Development,Private Sector Competitiveness," $1,100,000.00 ",1100000,1100000
2013,4,Disbursements,Child Survival and Health Programs Fund,U.S.A.I.D,Kenya,Kenya,Health,Maternal and Child Health, $872.56 ,872.56,872.56
2013,4,Disbursements,Economic Support Fund,usaid,West Bank and Gaza,West Bank and Gaza,Humanitarian Assistance,"Protection, Assistance and Solutions"," $10,345,575.68 ",10345575.68,10345575.68
2010,4,Disbsmnt.,Economic Support Fund,usaid,Uganda,Uganda,Peace and Security,Conflict Mitigation and Reconciliation," $206,883.59 ",206883.59,206883.59
2013,3,Obligations,Economic Support Fund,usaid,Vietnam,Vietnam,"Democracy, Human Rights, and Governance",Civil Society, $(623.33),-623.33,-623.33
2012,2,Obligations,N/A, MCC ,Ghana,Ghana,Education and Social Services,Social Services," $(20,094.86)",-20094.86,-20094.86
2012,3,Disbursements,Development Assistance,usaid,Mali,Mali,Econ. Dev.,Agriculture," $5,982,723.25 ",5982723.25,5982723.25
2012,2,Obligations,Economic Support Fund,usaid,Somalia,Somalia,Program Management,Direct Administrative Costs," $58,019.50 ",58019.5,58019.5
2009,3,Disbursements,Economic Support Fund, USAID ,Cambodia,Cambodia,Program Management,Direct Administrative Costs," $30,870.72 ",30870.72,30870.72
2011,2,Obligations,Special Assistance Initiatives,usaid,USAID Operating Expense,Worldwide,Program Management,Monitoring and Evaluation, $9.28 ,9.279999999999999,9.279999999999999
2009,4,Obligations,Development Assistance, USAID ,USAID Office of Development Partners,East Asia Region,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $23,903.20 ",23903.2,23903.2
2011,4,Disbursements,Global Health & Child Survival,usaid,Guatemala,Guatemala,Program Management,Monitoring and Evaluation," $61,231.92 ",61231.92,61231.92
2012,2,Disbursements,Development Assistance,usaid,Brazil,Brazil,Econ. Dev.,Infrastructure," $474,055.04 ",474055.04,474055.04
2010,3,Disbsmnt.,Development Assistance,usaid,China,East Asia Region,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $66,885.10 ",66885.10000000001,66885.10000000001
2011,2,Obligations,N/A, MCC ,Mozambique,Mozambique,multi-sector,Multi-Sector - Unspecified," $151,508.43 ",151508.43,151508.43
2013,4,Disbursements,N/A, MCC ,Malawi,Malawi,Program Management,Direct Administrative Costs," $1,120,660.33 ",1120660.33,1120660.33
2010,3,Disbsmnt.,Development Assistance,usaid,Tanzania,Tanzania,"Democracy, Human Rights, and Governance",Good Governance," $406,611.78 ",406611.78,406611.78
2013,2,Obligations,N/A,usaid,Nigeria,Nigeria,Economic Development,Agriculture," $(436,086.00)",-436086,-436086
2012,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",usaid,Tajikistan,Tajikistan,Econ. Dev.,Private Sector Competitiveness," $1,603,218.00 ",1603218,1603218
2013,1,Disbursements,Transition Initiatives,usaid,Libya,Libya,Program Management,Direct Administrative Costs," $84,126.49 ",84126.49000000001,84126.49000000001
2010,3,Disbsmnt.,Development Assistance,usaid,Laos,Laos,Economic Development,Trade and Investment," $178,008.80 ",178008.8,178008.8
2009,4,Obligations,Special Assistance Initiatives, USAID ,Kosovo,Kosovo,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $1,450,000.00 ",1450000,1450000
2009,4,Disbursements,Child Survival and Health Programs Fund,U.S.A.I.D,Liberia,Liberia,Health,Family Planning and Reproductive Health," $152,353.43 ",152353.43,152353.43
2009,2,Disbursements,Development Assistance, USAID ,Nigeria,Nigeria,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $1,040,061.55 ",1040061.55,1040061.55
2012,2,Disbursements,Global Health & Child Survival,usaid,Cambodia,Cambodia,Program Management,Monitoring and Evaluation," $39,866.02 ",39866.02,39866.02
2012,4,Obligations,Assist. For N.I.S Of Former Soviet Union,U.S.A.I.D,Ukraine,Ukraine,Health,HIV/AIDS," $(2,496.17)",-2496.17,-2496.17
2009,3,Disbursements,Development Assistance, USAID ,USAID Office of Development Partners,Ukraine,Program Management,Monitoring and Evaluation," $8,742.09 ",8742.09,8742.09
2014,2,Obligations,N/A,usaid,India,India,Program Management,Monitoring and Evaluation," $260,734.00 ",260734,260734
2013,2,Obligations,International Disaster Assistance,usaid,Sudan,Sudan,Program Management,Direct Administrative Costs," $205,274.46 ",205274.46,205274.46
2014,2,Obligations,N/A,usaid,Mozambique,Mozambique,Economic Development,Agriculture," $9,450,499.66 ",9450499.66,9450499.66
2011,1,Disbursements,Global Health & Child Survival,U.S.A.I.D,Jamaica,Jamaica,Health,HIV/AIDS," $335,889.04 ",335889.04,335889.04
2012,3,Disbursements,Economic Support Fund,usaid,Lebanon,Lebanon,Education and Social Services,Higher Education," $585,020.49 ",585020.49,585020.49
2011,4,Disbursements,Economic Support Fund,usaid,Ghana,Ghana,Program Management,Direct Administrative Costs," $22,630.65 ",22630.65,22630.65
2010,1,Disbsmnt.,Commodity Credit Corp Title II and III,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Worldwide,Humanitarian Assistance,"Protection, Assistance and Solutions"," $280,971,769.51 ",280971769.51,280971769.51
2009,4,Disbursements,Global Health & Child Survival,U.S.A.I.D,India,India,Health,Family Planning and Reproductive Health," $549,544.63 ",549544.63,549544.63
2009,4,Disbursements,Millennium Challenge Corporation, USAID ,Moldova,Moldova,"Democracy, Human Rights, and Governance",Good Governance," $2,678,360.18 ",2678360.18,2678360.18
