FiscalYear,QTR,FiscalYearType,Account,Agency,OperatingUnit,BenefitingCountry,Category,Sector,Amount,Spent,Spent2,notCountry
2009,2,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Georgia,Georgia,Humanitarian Assistance,"Protection, Assistance and Solutions"," $14,300,000.00 ",14300000,14300000,0
2013,1,Obligations,Global Health & Child Survival,USAID,Worldwide,Worldwide,Program Management,Direct Administrative Costs," $1,371,879.25 ",1371879.25,1371879.25,0
2011,3,Disbursements,Unknown,USAID,Burkina Faso,Burkina Faso,Education And Social Services,Basic Education," $293,700.00 ",293700,293700,0
2011,4,Disbursements,Development Assistance,USAID,"USAID Economic Growth, Education and Environment",Worldwide,Program Management,Monitoring and Evaluation," $982,894.14 ",982894.14,982894.14,0
2013,4,Disbursements,Gifts and Donations,USAID,Bosnia and Herzegovina,Bosnia and Herzegovina,"Democracy, Human Rights, And Governance",Good Governance," $89,606.20 ",89606.2,89606.2,0
2011,2,Disbursements,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Latin America and Caribbean Region,Humanitarian Assistance,"Protection, Assistance and Solutions"," $502,922.29 ",502922.29,502922.29,1
2011,,Disbursements,Unknown,USADF,Burkina Faso,Burkina Faso,Missing,Agriculture," $615,414.48 ",615414.48,615414.48,0
2010,1,Disbursements,Economic Support Fund,USAID,USAID Operating Expense,Worldwide,Economic Development,Infrastructure," $6,991.87 ",6991.87,6991.87,0
2013,3,Obligations,Economic Support Fund,USAID,Worldwide,Worldwide,Program Management,Direct Administrative Costs," $1,521,042.73 ",1521042.73,1521042.73,0
2010,4,Disbursements,Assist. For N.I.S Of Former Soviet Union,USAID,Moldova,Moldova,"Democracy, Human Rights, And Governance",Rule of Law and Human Rights," $12,861.56 ",12861.56,12861.56,0
2010,4,Disbursements,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Georgia,Humanitarian Assistance,"Protection, Assistance and Solutions"," $27,764.20 ",27764.2,27764.2,0
2010,4,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Nicaragua,Humanitarian Assistance,Disaster Readiness," $50,000.00 ",50000,50000,0
2010,3,Disbursements,Development Assistance,USAID,Sri Lanka,Sri Lanka,Peace And Security,Stabilization Operations and Security Sector Reform," $133,855.00 ",133855,133855,0
2010,2,Obligations,Child Survival and Health Programs Fund,USAID,India,India,Health,Maternal and Child Health," $(10,959.50)",-10959.5,-10959.5,0
2012,1,Disbursements,Global Health & Child Survival,USAID,Dominican Republic,Dominican Republic,Health,Family Planning and Reproductive Health, $701.51 ,701.51,701.51,0
2012,4,Obligations,Development Assistance,USAID,Uganda,Uganda,Economic Development,Agriculture," $28,950,000.00 ",28950000,28950000,0
2013,3,Disbursements,Transition Initiatives,USAID,Mali,Mali,Program Management,Direct Administrative Costs," $106,110.92 ",106110.92,106110.92,0
2013,3,Disbursements,Development Fund for Africa,USAID,South Africa,South Africa,Program Management,Direct Administrative Costs," $17,432.96 ",17432.96,17432.96,0
2011,4,Obligations,Development Assistance,USAID,Nicaragua,Nicaragua,Economic Development,Trade and Investment," $1,266,600.00 ",1266600,1266600,0
2013,3,Disbursements,Unknown,USAID,India,India,Health,Other Public Health Threats," $650,000.00 ",650000,650000,0
2012,4,Disbursements,Development Assistance,USAID,Afghanistan,Afghanistan,Program Management,Monitoring and Evaluation," $121,105.65 ",121105.65,121105.65,0
2009,4,Disbursements,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Ethiopia,Program Management,Direct Administrative Costs," $228,689.68 ",228689.68,228689.68,0
2010,4,Obligations,Development Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Worldwide,Program Management,Direct Administrative Costs," $4,157,159.57 ",4157159.57,4157159.57,0
2010,1,Obligations,Unknown,MCC,Mongolia,Mongolia,Education And Social Services,Social Assistance," $(225,000.00)",-225000,-225000,0
2013,4,Disbursements,Unknown,USAID,Angola,Angola,Program Management,Direct Administrative Costs," $187,630.70 ",187630.7,187630.7,0
2011,4,Obligations,Development Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Worldwide,"Democracy, Human Rights, And Governance",Political Competition and Consensus-Building," $2,600,000.00 ",2600000,2600000,0
2010,4,Disbursements,Development Assistance,USAID,Ghana,Ghana,Education And Social Services,Basic Education," $1,778,703.62 ",1778703.62,1778703.62,0
2012,,Obligations,Unknown,USADF,Cape Verde,Cape Verde,Missing,Monitoring and Evaluation," $247,236.00 ",247236,247236,0
2014,2,Disbursements,International Disaster Assistance,USAID,Indonesia,Indonesia,Humanitarian Assistance,"Protection, Assistance and Solutions"," $159,600.58 ",159600.58,159600.58,0
2010,4,Obligations,Development Assistance,USAID,"USAID Economic Growth, Education and Environment",Worldwide,Peace And Security,Transnational Crime," $35,000.00 ",35000,35000,0
2012,2,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Burkina Faso,Humanitarian Assistance,"Protection, Assistance and Solutions"," $480,367.32 ",480367.32,480367.32,0
2010,2,Disbursements,Development Assistance,USAID,Ethiopia,Ethiopia,Education And Social Services,Basic Education," $3,211,364.88 ",3211364.88,3211364.88,0
2009,1,Disbursements,Special Assistance Initiatives,USAID,Albania,Albania,Program Management,Direct Administrative Costs," $11,470.26 ",11470.26,11470.26,0
2013,1,Obligations,Global Health & Child Survival,USAID,Worldwide,Worldwide,Health,Tuberculosis," $55,243.79 ",55243.79,55243.79,0
2013,3,Obligations,International Disaster Assistance,USAID,China,China,Humanitarian Assistance,Disaster Readiness," $1,000,000.00 ",1000000,1000000,0
2012,1,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Turkmenistan,Turkmenistan,Program Management,Monitoring and Evaluation," $50,000.00 ",50000,50000,0
2011,1,Obligations,Global Health & Child Survival,USAID,India,India,Health,Maternal and Child Health," $1,000,000.00 ",1000000,1000000,0
2010,3,Disbursements,Global Health & Child Survival,USAID,"Congo, Democratic Republic of","Congo, Democratic Republic of",Program Management,Monitoring and Evaluation," $106,659.27 ",106659.27,106659.27,0
2010,3,Disbursements,Millennium Challenge Corporation,USAID,Kyrgyz Republic,Kosovo,Program Management,Monitoring and Evaluation," $8,304.81 ",8304.81,8304.81,0
2012,,Disbursements,Unknown,IAF,Colombia,Colombia,Missing,Social Services," $632,068.00 ",632068,632068,0
2013,1,Disbursements,Economic Support Fund,USAID,Worldwide,Worldwide,Health,Family Planning and Reproductive Health, $169.90 ,169.9,169.9,0
2010,3,Obligations,Unknown,MCC,Ghana,Ghana,Economic Development,Financial Sector," $(264,913.00)",-264913,-264913,0
2012,2,Disbursements,Development Assistance,USAID,Angola,Angola,Economic Development,Economic Opportunity," $(194,535.96)",-194535.96,-194535.96,0
2011,4,Disbursements,Development Assistance,USAID,Ethiopia,Ethiopia,Economic Development,Private Sector Competitiveness," $2,503,743.62 ",2503743.62,2503743.62,0
2011,3,Disbursements,Global Health & Child Survival,USAID,Uzbekistan,Uzbekistan,Health,Tuberculosis," $127,891.06 ",127891.06,127891.06,0
2010,2,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Bosnia and Herzegovina,Bosnia and Herzegovina,"Democracy, Human Rights, And Governance",Civil Society," $300,000.00 ",300000,300000,0
2014,2,Disbursements,Transition Initiatives,USAID,Libya,Libya,Program Management,Monitoring and Evaluation," $2,180.00 ",2180,2180,0
2014,2,Disbursements,Unknown,USAID,Morocco,Morocco,Economic Development,Trade and Investment," $136,317.32 ",136317.32,136317.32,0
2012,4,Obligations,Development Assistance,USAID,Philippines,Marshall Islands,Program Management,Direct Administrative Costs," $35,000.00 ",35000,35000,0
2010,4,Disbursements,"Assistance for Europe, Eurasia and Central Asia",USAID,Ukraine,Ukraine,Peace And Security,Combating Weapons of Mass Destruction (WMD)," $9,918,000.00 ",9918000,9918000,0
2009,1,Disbursements,Development Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Worldwide,Education And Social Services,Social Services," $445,582.55 ",445582.55,445582.55,0
2010,1,Obligations,Operating Expenses,USAID,Ukraine,Worldwide,Program Management,Direct Administrative Costs," $861,597.68 ",861597.6800000001,861597.6800000001,0
2013,4,Obligations,Transition Initiatives,USAID,Kenya,Kenya,Program Management,Direct Administrative Costs," $351,733.71 ",351733.71,351733.71,0
2013,2,Disbursements,Unknown,USAID,Mexico,Mexico,Program Management,Direct Administrative Costs," $153,793.05 ",153793.05,153793.05,0
2010,2,Disbursements,Development Assistance,USAID,USAID Southern Africa Regional,South Africa Region,Economic Development,Financial Sector," $262,115.35 ",262115.35,262115.35,1
2013,4,Obligations,Economic Support Fund,USAID,Ukraine,Ukraine,Education And Social Services,Social Assistance," $83,952.00 ",83952,83952,0
2013,4,Disbursements,Global Health & Child Survival,USAID,South Sudan,South Sudan,Health,Malaria," $598,142.70 ",598142.7,598142.7,0
2010,1,Obligations,Unknown,Peace Corps,Senegal,Senegal,Missing,Environment - General," $1,548,110.95 ",1548110.95,1548110.95,0
2009,1,Disbursements,Assist. For N.I.S Of Former Soviet Union,USAID,Tajikistan,Tajikistan,Health,HIV/AIDS," $237,477.94 ",237477.94,237477.94,0
2010,2,Disbursements,Global Health & Child Survival,USAID,Laos,Laos,Program Management,Monitoring and Evaluation," $7,794.00 ",7794,7794,0
2011,1,Disbursements,Assist. For N.I.S Of Former Soviet Union,USAID,Turkmenistan,Turkmenistan,"Democracy, Human Rights, And Governance",Civil Society, $19.00 ,19,19,0
2010,4,Obligations,Operating Expenses,USAID,USAID Regional Development Mission-Asia,Worldwide,Program Management,Direct Administrative Costs," $5,504,165.60 ",5504165.6,5504165.6,0
2013,4,Disbursements,Unknown,USAID,Armenia,Armenia,Economic Development,Infrastructure," $505,974.64 ",505974.64,505974.64,0
2012,4,Obligations,Economic Support Fund,USAID,Mauritania,Mauritania,"Democracy, Human Rights, And Governance",Political Competition and Consensus-Building," $500,000.00 ",500000,500000,0
2013,2,Obligations,International Disaster Assistance,USAID,East Asia Region,East Asia Region,Humanitarian Assistance,Disaster Readiness," $699,969.00 ",699969,699969,1
2007,3,Disbursements,Unknown,MCC,Mali,Mali,Program Management,Direct Administrative Costs," $177,291.16 ",177291.16,177291.16,0
2011,1,Disbursements,Operating Expenses,USAID,USAID Inspector General Operating Expense,Worldwide,Program Management,Direct Administrative Costs," $8,267,121.25 ",8267121.25,8267121.25,0
2011,4,Obligations,Democracy Fund,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Morocco,"Democracy, Human Rights, And Governance",Political Competition and Consensus-Building," $950,000.00 ",950000,950000,0
2012,,Obligations,Unknown,IAF,Mexico,Mexico,Missing,Natural Resources and Biodiversity," $953,212.00 ",953212,953212,0
2012,2,Disbursements,Development Assistance,USAID,Ecuador,Ecuador,Peace And Security,Transnational Crime," $33,366.00 ",33366,33366,0
2007,3,Disbursements,Unknown,MCC,Senegal,Senegal,Multi-Sector,Multi-Sector - Unspecified," $27,779.12 ",27779.12,27779.12,0
2012,2,Disbursements,Development Assistance,USAID,Burundi,Burundi,Economic Development,Trade and Investment," $599,000.00 ",599000,599000,0
2009,4,Disbursements,Development Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Angola,"Democracy, Human Rights, And Governance",Political Competition and Consensus-Building," $9,600.00 ",9600,9600,0
2013,3,Obligations,Global HIV/AIDS Initiative,USAID,Uganda,Uganda,Health,HIV/AIDS," $(32,526.21)",-32526.21,-32526.21,0
2013,3,Disbursements,Unknown,USAID,Guatemala,Guatemala,Environment,Natural Resources and Biodiversity," $488,683.80 ",488683.8,488683.8,0
2009,3,Disbursements,Development Assistance,USAID,Djibouti,Djibouti,Education And Social Services,Basic Education," $623,924.14 ",623924.14,623924.14,0
2012,3,Disbursements,Unknown,MCC,Jordan,Jordan,Multi-Sector,Multi-Sector - Unspecified," $753,090.18 ",753090.1800000001,753090.1800000001,0
2013,3,Disbursements,Unknown,USAID,Kenya,Kenya,Health,Other Public Health Threats," $54,931.24 ",54931.24,54931.24,0
2011,1,Obligations,Unknown,Peace Corps,Mexico,Mexico,Missing,Environment - General," $693,849.87 ",693849.87,693849.87,0
2012,1,Disbursements,Development Assistance,USAID,Togo,Togo,Education And Social Services,Social Assistance," $25,031.36 ",25031.36,25031.36,0
2013,,Disbursements,Unknown,USADF,Uganda,Uganda,Missing,Social Services," $76,373.86 ",76373.86,76373.86,0
2012,4,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",South Africa Region,Program Management,Direct Administrative Costs," $6,448.00 ",6448,6448,1
2012,,Disbursements,Unknown,IAF,Argentina,Argentina,Missing,Natural Resources and Biodiversity," $33,750.00 ",33750,33750,0
2011,1,Disbursements,Global Health & Child Survival,USAID,Cambodia,Cambodia,Health,Family Planning and Reproductive Health," $1,682,954.44 ",1682954.44,1682954.44,0
2013,4,Disbursements,Unknown,USAID,South Africa,South Africa,Program Management,Direct Administrative Costs," $484,501.77 ",484501.77,484501.77,0
2012,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Joint Eurasia Regional,Ukraine,Environment,Natural Resources and Biodiversity," $100,000.00 ",100000,100000,0
2012,1,Obligations,Global Health & Child Survival,USAID,Namibia,Namibia,Health,HIV/AIDS," $(1,106,724.51)",-1106724.51,-1106724.51,0
2009,4,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Burkina Faso,Humanitarian Assistance,"Protection, Assistance and Solutions"," $3,174,459.00 ",3174459,3174459,0
2013,4,Obligations,International Disaster Assistance,USAID,Chad,Chad,Humanitarian Assistance,Disaster Readiness," $819,178.00 ",819178,819178,0
2009,1,Disbursements,Global Health & Child Survival,USAID,Madagascar,Madagascar,Health,Maternal and Child Health," $79,824.63 ",79824.63000000001,79824.63000000001,0
2011,2,Disbursements,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Bosnia and Herzegovina,Humanitarian Assistance,"Protection, Assistance and Solutions"," $47,621.82 ",47621.82,47621.82,0
2013,2,Obligations,Child Survival and Health Programs Fund,USAID,Nigeria,Nigeria,Health,Malaria," $1,092.07 ",1092.07,1092.07,0
2013,4,Disbursements,Unknown,USAID,Mexico,Mexico,Education And Social Services,Higher Education," $212,796.40 ",212796.4,212796.4,0
2010,2,Obligations,Development Assistance,USAID,Philippines,Philippines,Economic Development,Agriculture," $(12,530.05)",-12530.05,-12530.05,0
2012,4,Disbursements,Development Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Worldwide,Program Management,Monitoring and Evaluation," $412,886.11 ",412886.11,412886.11,0
2010,4,Disbursements,Assist. For N.I.S Of Former Soviet Union,USAID,Joint Eurasia Regional,Eurasia Region,Program Management,Monitoring and Evaluation," $147,615.53 ",147615.53,147615.53,1
2012,3,Obligations,Development Assistance,USAID,Sierra Leone,Sierra Leone,Education And Social Services,Social Assistance," $3,399.00 ",3399,3399,0
2012,,Disbursements,Unknown,IAF,Guatemala,Guatemala,Missing,Private Sector Competitiveness," $110,000.00 ",110000,110000,0
2013,2,Obligations,Economic Support Fund,USAID,Nepal,Nepal,"Democracy, Human Rights, And Governance",Political Competition and Consensus-Building," $6,364,000.00 ",6364000,6364000,0
2010,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Joint Eurasia Regional,Eastern European Region,Peace And Security,Transnational Crime," $650,000.00 ",650000,650000,1
2011,1,Obligations,Special Assistance Initiatives,USAID,Albania,Albania,"Democracy, Human Rights, And Governance",Political Competition and Consensus-Building, $(33.00),-33,-33,0
