FiscalYear,QTR,FiscalYearType,Account,Agency,OperatingUnit,BenefitingCountry,Category,Sector,Amount,Spent,Spent2
2009,2,Obligations,Development Assistance, USAID,USAID Middle East Regional,South Asia Region,Peace and Security,Counterterrorism," $541,613.62 ",541613.62,541613.62
2011,4,Disbursements,Global Health & Child Survival,U.S.A.I.D,Guatemala,Guatemala,Health,HIV/AIDS," $762,979.87 ",762979.87,762979.87
2012,3,Disbursements,Development Assistance,usaid,Brazil,Brazil,Program Management,Direct Administrative Costs," $363,943.99 ",363943.99,363943.99
2010,4,Disbsmnt.,Development Assistance,usaid,China,East Asia Region,ENVIRONMENT,Natural Resources and Biodiversity," $467,564.11 ",467564.11,467564.11
2011,3,Obligations,N/A,MCC,Morocco,Morocco,Education and Social Services,Social Assistance, $-   ,,
2013,1,Disbursements,N/A,MCC,Malawi,Malawi,Program Management,Direct Administrative Costs," $615,239.62 ",615239.62,615239.62
2010,3,Disbsmnt.,Development Assistance,usaid,"Sudan, Pre-2011 Election","Sudan, Pre-2011 Election",Program Management,Monitoring and Evaluation," $407,712.37 ",407712.37,407712.37
2013,4,Obligations,N/A,usaid,Niger,Niger,Education and Social Services,Social Assistance," $40,000.00 ",40000,40000
2012,2,Obligations,"Assistance for Europe, Eurasia and Central Asia",usaid,Tajikistan,Tajikistan,Program Management,Monitoring and Evaluation," $10,320.00 ",10320,10320
2013,4,Disbursements,Transition Initiatives,usaid,Lebanon,Lebanon,Program Management,Direct Administrative Costs," $79,653.32 ",79653.32000000001,79653.32000000001
2010,3,Disbsmnt.,Development Assistance,U.S.A.I.D,Kenya,Kenya,Health,Water Supply and Sanitation," $270,063.05 ",270063.05,270063.05
2009,1,Obligations,Special Assistance Initiatives, USAID,Kosovo,Kosovo,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $(4,200.00)",-4200,-4200
2009,1,Disbursements,Child Survival and Health Programs Fund,U.S.A.I.D,Liberia,Liberia,Health,Family Planning and Reproductive Health," $244,724.93 ",244724.93,244724.93
2009,3,Disbursements,Development Assistance, USAID,Nigeria,Nigeria,Economic Development,Financial Sector," $20,316.52 ",20316.52,20316.52
2012,2,Disbursements,Global Health & Child Survival,U.S.A.I.D,Cambodia,Cambodia,Health,HIV/AIDS," $3,186,796.33 ",3186796.33,3186796.33
2012,2,Obligations,Assist. For N.I.S Of Former Soviet Union,U.S.A.I.D,Tajikistan,Tajikistan,Health,Tuberculosis, $(199.14),-199.14,-199.14
2009,2,Disbursements,Development Assistance, USAID,USAID Office of Development Partners,Uganda,Economic Development,Private Sector Competitiveness," $19,603.18 ",19603.18,19603.18
2014,2,Obligations,N/A,usaid,India,India,Economic Development,Agriculture," $1,631,588.80 ",1631588.8,1631588.8
2013,3,Obligations,International Disaster Assistance,usaid,Sri Lanka,Sri Lanka,Humanitarian Assistance,"Protection, Assistance and Solutions"," $489,722.00 ",489722,489722
2014,2,Obligations,N/A,usaid,Morocco,Morocco,"Democracy, Human Rights, and Governance",Good Governance," $1,545,548.00 ",1545548,1545548
2011,4,Disbursements,Global Health & Child Survival,U.S.A.I.D,Indonesia,Indonesia,Health,Tuberculosis," $430,469.37 ",430469.37,430469.37
2012,3,Disbursements,Economic Support Fund,usaid,Lebanon,Lebanon,Program Management,Direct Administrative Costs," $420,788.73 ",420788.73,420788.73
2011,1,Disbursements,Economic Support Fund,usaid,Ethiopia,Ethiopia,DRG,Good Governance," $224,802.52 ",224802.52,224802.52
2010,3,Disbsmnt.,Commodity Credit Corp Title II and III,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Uganda,Humanitarian Assistance,"Protection, Assistance and Solutions"," $736,136.65 ",736136.65,736136.65
2009,1,Disbursements,Global Health & Child Survival,U.S.A.I.D,India,India,Health,Family Planning and Reproductive Health," $1,504,262.43 ",1504262.43,1504262.43
2009,1,Disbursements,Millennium Challenge Corporation, USAID,Moldova,Moldova,"Democracy, Human Rights, and Governance",Good Governance," $1,943,092.03 ",1943092.03,1943092.03
2007,3,Obligations,N/A,MCC,Ghana,Ghana,Program Management,Direct Administrative Costs, $-   ,,
2010,4,Obgl.,Global Health & Child Survival,usaid,"Sudan, Pre-2011 Election","Sudan, Pre-2011 Election",Program Management,Direct Administrative Costs," $2,931,000.00 ",2931000,2931000
2009,2,Disbursements,Development Assistance, USAID,Uganda,Uganda,Education and Social Services,Basic Education," $1,780,084.16 ",1780084.16,1780084.16
2013,1,Disbursements,N/A,usaid,Cameroon,Cameroon,"Democracy, Human Rights, and Governance",Civil Society," $13,021.01 ",13021.01,13021.01
2010,4,Disbsmnt.,Economic Support Fund,usaid,Indonesia,Indonesia,Economic Development,Trade and Investment," $92,972.07 ",92972.07000000001,92972.07000000001
2009,2,Disbursements,Child Survival and Health Programs Fund,U.S.A.I.D,USAID Regional Development Mission-Asia,East Asia Region,Health,Other Public Health Threats, $552.54 ,552.54,552.54
2011,4,Disbursements,Global Health & Child Survival,U.S.A.I.D,Papua New Guinea,East Asia Region,Health,HIV/AIDS," $8,746.27 ",8746.27,8746.27
2009,2,Disbursements,Development Assistance, USAID,Liberia,Liberia,ENVIRONMENT,Natural Resources and Biodiversity," $542,550.61 ",542550.61,542550.61
2013,3,Disbursements,Economic Support Fund,usaid,East Africa Region,East Africa Region,Peace and Security,Counterterrorism," $678,888.44 ",678888.4399999999,678888.4399999999
2013,3,Obligations,Assist. For N.I.S Of Former Soviet Union,usaid,Eurasia Region,Eurasia Region,Economic Development,Financial Sector, $(0.49),-.49,-.49
2013,3,Obligations,N/A,usaid,Turkmenistan,Turkmenistan,Economic Development,Private Sector Competitiveness," $181,322.00 ",181322,181322
2012,1,Disbursements,Operating Expenses,usaid,"Sudan, Pre-2011 Election",Worldwide,Program Management,Direct Administrative Costs," $5,161,709.11 ",5161709.11,5161709.11
2012,3,Disbursements,Development Assistance,usaid,Seychelles,Seychelles,Education and Social Services,Social Assistance," $4,281.70 ",4281.7,4281.7
2013,2,Obligations,Economic Support Fund,usaid,Paraguay,Paraguay,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $(5,913.00)",-5913,-5913
2012,4,Disbursements,Assist. For N.I.S Of Former Soviet Union,usaid,Georgia,Georgia,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $316,433.06 ",316433.06,316433.06
2009,2,Disbursements,Development Assistance, USAID,USAID Southern Africa Regional,South Africa Region,Economic Development,Infrastructure," $215,000.00 ",215000,215000
2013,3,Obligations,N/A,MCC,Philippines,Philippines,multi-sector,Multi-Sector - Unspecified," $612,386.24 ",612386.24,612386.24
2012,2,Disbursements,"Assistance for Europe, Eurasia and Central Asia",usaid,Joint Eurasia Regional,Eastern European Region,Program Management,Monitoring and Evaluation," $3,820.89 ",3820.89,3820.89
2014,2,Disbursements,International Disaster Assistance,usaid,Worldwide,Worldwide,Program Management,Monitoring and Evaluation, $471.68 ,471.68,471.68
2012,2,Disbursements,Global Health & Child Survival,U.S.A.I.D,Asia Middle East Regional,Asia Region,Health,Maternal and Child Health," $(4,919.25)",-4919.25,-4919.25
2013,3,Disbursements,Global Health & Child Survival,U.S.A.I.D,Zambia,Zambia,Health,Family Planning and Reproductive Health," $5,667,237.03 ",5667237.03,5667237.03
2012,,Disbursements,N/A,IAF,Colombia,Colombia,,Higher Education," $6,550.00 ",6550,6550
2009,2,Obligations,N/A,U.S.A.I.D,Lesotho,Lesotho,Health,Family Planning and Reproductive Health," $(25,000.00)",-25000,-25000
2010,2,Disbsmnt.,Development Assistance,usaid,USAID South America Regional,Peru,Economic Development,Trade and Investment," $198,203.91 ",198203.91,198203.91
2009,1,Disbursements,Child Survival and Health Programs Fund,U.S.A.I.D,South Africa,South Africa,Health,Tuberculosis," $621,024.87 ",621024.87,621024.87
2013,3,Disbursements,Economic Support Fund,usaid,Yemen,Yemen,Economic Development,Financial Sector," $46,796.05 ",46796.05,46796.05
2013,1,Disbursements,Child Survival and Health Programs Fund,usaid,Malawi,Malawi,Program Management,Direct Administrative Costs," $155,995.01 ",155995.01,155995.01
2009,3,Obligations,Development Assistance, USAID,Peru,Peru,"Democracy, Human Rights, and Governance",Good Governance," $22,510.00 ",22510,22510
2012,2,Obligations,"Assistance for Europe, Eurasia and Central Asia",usaid,Kazakhstan,Kazakhstan,Program Management,Direct Administrative Costs," $565,004.22 ",565004.22,565004.22
2012,4,Disbursements,Development Assistance,usaid,Kenya,Kenya,Program Management,Direct Administrative Costs," $687,172.94 ",687172.9399999999,687172.9399999999
2013,2,Disbursements,Transition Initiatives,usaid,East Asia Region,East Asia Region,Program Management,Direct Administrative Costs," $96,883.63 ",96883.63000000001,96883.63000000001
2013,3,Obligations,N/A,usaid,Russia,Russia,Program Management,Direct Administrative Costs," $(2,509,146.59)",-2509146.59,-2509146.59
2013,2,Obligations,N/A,U.S.A.I.D,Kazakhstan,Kazakhstan,Health,Tuberculosis," $804,000.00 ",804000,804000
2011,2,Disbursements,N/A,MCC,Cape Verde,Cape Verde,Program Management,Direct Administrative Costs," $(69,924.88)",-69924.88000000001,-69924.88000000001
2009,4,Disbursements,Development Assistance, USAID,Nigeria,Nigeria,Economic Development,Agriculture," $2,147,290.86 ",2147290.86,2147290.86
2013,4,Disbursements,Assist. For N.I.S Of Former Soviet Union,usaid,Eurasia Region,Eurasia Region,Economic Development,Infrastructure," $14,423.24 ",14423.24,14423.24
2012,1,Disbursements,N/A,PEACE CORPS,Kenya,Kenya,,Economic Development - General," $490,703.24 ",490703.24,490703.24
2009,4,Disbursements,Development Assistance, USAID,Guatemala,Guatemala,Education and Social Services,Basic Education," $814,797.46 ",814797.46,814797.46
2010,1,Disbsmnt.,Economic Support Fund,usaid,Pakistan,Pakistan,Economic Development,Agriculture," $3,134,333.06 ",3134333.06,3134333.06
2010,3,Obgl.,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Serbia,Humanitarian Assistance,Disaster Readiness, $(106.56),-106.56,-106.56
2012,1,Disbursements,Operating Expenses,usaid,Jamaica,Worldwide,Program Management,Direct Administrative Costs," $881,596.14 ",881596.14,881596.14
2010,3,Disbsmnt.,Development Assistance,usaid,Rwanda,Rwanda,Program Management,Direct Administrative Costs," $72,207.26 ",72207.26,72207.26
2012,1,Disbursements,"Assistance for Europe, Eurasia and Central Asia",usaid,Joint Eurasia Regional,Eurasia Region,ENVIRONMENT,Clean Productive Environment," $1,500,000.00 ",1500000,1500000
2012,2,Disbursements,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",West Africa Region,Humanitarian Assistance,Disaster Readiness," $627,335.90 ",627335.9,627335.9
2014,2,Disbursements,Global Health & Child Survival,usaid,Belarus,Belarus,Program Management,Direct Administrative Costs," $1,031.87 ",1031.87,1031.87
2010,3,Obgl.,Operating Expenses,usaid,Bulgaria,Worldwide,Program Management,Direct Administrative Costs," $20,178.36 ",20178.36,20178.36
2009,3,Disbursements,Development Assistance, USAID,USAID Office of Development Partners,Ukraine,Program Management,Direct Administrative Costs," $1,239.54 ",1239.54,1239.54
2012,1,Disbursements,Development Assistance,usaid,Morocco,Morocco,Program Management,Direct Administrative Costs," $183,467.32 ",183467.32,183467.32
2012,1,Disbursements,Gifts and Donations,U.S.A.I.D,USAID Global Health,Worldwide,Health,Maternal and Child Health," $125,469.70 ",125469.7,125469.7
2013,1,Disbursements,N/A,usaid,Angola,Angola,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $7,920.00 ",7920,7920
2010,1,Disbsmnt.,Economic Support Fund,usaid,Near East Regional,Near East Region,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $297,919.39 ",297919.39,297919.39
2010,2,Disbsmnt.,Economic Support Fund,usaid,Indonesia,Indonesia,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $131,516.21 ",131516.21,131516.21
2011,4,Disbursements,Economic Support Fund,usaid,Lebanon,Lebanon,Economic Development,Agriculture," $921,218.16 ",921218.16,921218.16
2011,4,Obligations,Commodity Credit Corp Title II and III,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Burkina Faso,Humanitarian Assistance,"Protection, Assistance and Solutions"," $4,113,518.86 ",4113518.86,4113518.86
2013,2,Obligations,N/A,usaid,Kazakhstan,Kazakhstan,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $670,000.00 ",670000,670000
2011,2,Obligations,Economic Support Fund,usaid,Cambodia,Cambodia,DRG,Rule of Law and Human Rights," $(1,550.00)",-1550,-1550
2013,40,Obligations,N/A,MCC,Senegal,Senegal,Economic Development,Infrastructure," $(64,481.00)",-64481,-64481
2012,3,Disbursements,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",India,Humanitarian Assistance,"Protection, Assistance and Solutions"," $297,000.00 ",297000,297000
2010,3,Obgl.,N/A,MCC,Burkina Faso,Burkina Faso,multi-sector,Multi-Sector - Unspecified," $221,201.38 ",221201.38,221201.38
2013,4,Obligations,N/A,usaid,Eurasia Region,Eurasia Region,"Democracy, Human Rights, and Governance",Civil Society," $3,229,578.00 ",3229578,3229578
2012,3,Obligations,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",East Africa Region,Humanitarian Assistance,"Protection, Assistance and Solutions"," $(11,495.11)",-11495.11,-11495.11
2009,4,Obligations,Development Assistance, USAID,Asia Middle East Regional,Asia Region,Education and Social Services,Higher Education," $16,273.00 ",16273,16273
2011,2,Disbursements,Andean Counterdrug Initiative,usaid,Colombia,Colombia,Peace and Security,Counter-Narcotics," $82,485.70 ",82485.7,82485.7
2011,4,Obligations,Operating Expenses,usaid,Azerbaijan,Worldwide,Program Management,Direct Administrative Costs," $819,436.91 ",819436.91,819436.91
2010,3,Disbsmnt.,Development Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Nigeria,Peace and Security,Conflict Mitigation and Reconciliation," $284,000.00 ",284000,284000
2012,1,Disbursements,Global Health & Child Survival,U.S.A.I.D,Kenya,Kenya,Health,Family Planning and Reproductive Health," $2,541,497.25 ",2541497.25,2541497.25
2009,4,Obligations,Development Assistance, USAID,USAID Latin America and Caribbean Regional,Colombia,ENVIRONMENT,Natural Resources and Biodiversity," $63,000.00 ",63000,63000
2013,4,Obligations,Development Credit Authority,usaid,Worldwide,Worldwide,Economic Development,Financial Sector," $8,440,560.00 ",8440560,8440560
2010,4,Obgl.,Global Health & Child Survival,usaid,Papua New Guinea,East Asia Region,Program Management,Direct Administrative Costs," $167,402.66 ",167402.66,167402.66
2009,3,Obligations,Assist. For N.I.S Of Former Soviet Union,U.S.A.I.D,Kazakhstan,Kazakhstan,Health,Other Public Health Threats, $166.67 ,166.67,166.67
2013,2,Obligations,N/A,usaid,Ghana,Ghana,Economic Development,Agriculture," $917,014.00 ",917014,917014
2010,1,Disbsmnt.,Economic Support Fund,usaid,Colombia,Colombia,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $3,677,619.13 ",3677619.13,3677619.13
2011,1,Disbursements,Global Health & Child Survival,usaid,Afghanistan,Afghanistan,Program Management,Direct Administrative Costs," $1,866.91 ",1866.91,1866.91
2011,2,Disbursements,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Chad,Humanitarian Assistance,"Protection, Assistance and Solutions"," $2,702,740.26 ",2702740.26,2702740.26
2014,2,Obligations,Global Health & Child Survival,usaid,Indonesia,Indonesia,Program Management,Direct Administrative Costs," $773,283.62 ",773283.62,773283.62
2010,3,Disbsmnt.,Development Assistance,usaid,Cote d'Ivoire,Cote d'Ivoire,"Democracy, Human Rights, and Governance",Civil Society," $35,560.54 ",35560.54,35560.54
2009,4,Obligations,Economic Support Fund, USAID,Pakistan,Pakistan,"Democracy, Human Rights, and Governance",Good Governance," $21,254,187.00 ",21254187,21254187
2010,1,Disbsmnt.,Global Health & Child Survival,U.S.A.I.D,Honduras,Honduras,Health,Maternal and Child Health," $329,375.42 ",329375.42,329375.42
20014,0,Disbursements,N/A,DoD,Vietnam,Vietnam,Peace and Security,Counterterrorism," $37,874.00 ",37874,37874
2011,3,Obligations,Global Health & Child Survival,U.S.A.I.D,Afghanistan,Afghanistan,Health,Maternal and Child Health," $350,000.00 ",350000,350000
2014,2,Obligations,N/A,usaid,Malawi,Malawi,Education and Social Services,Basic Education," $789,629.29 ",789629.29,789629.29
